"","Label","Januari","Februari","Maret","April","Mei","kmeans_clustering.cluster"
"185","CIPETE UTARA",20,9,30,26,18,2
"186","PANCORAN",12,9,16,4,9,1
"187","KALIBATA",20,25,30,21,16,2
"188","RAWAJATI",24,25,27,24,19,2
"189","DUREN TIGA",18,7,23,14,6,1
"190","PENGADEGAN",18,21,17,16,9,1
"191","CIKOKO",6,7,6,7,2,1
"192","JAGAKARSA",37,51,56,42,25,3
"193","SRENGSENG SAWAH",33,37,54,38,38,3
"194","CIGANJUR",26,39,23,35,15,2
"195","LENTENG AGUNG",23,22,38,30,7,2
"196","TANJUNG BARAT",27,19,25,27,21,2
"197","CIPEDAK",26,20,35,24,17,2
"198","PESANGGRAHAN",20,27,31,26,17,2
"199","BINTARO",41,29,43,32,19,2
"200","PETUKANGAN UTARA",37,37,58,27,29,2
"201","PETUKANGAN SELATAN",34,27,23,45,24,2
"202","ULUJAMI",21,23,34,37,24,2
"203","PISANGAN BARU",14,30,19,18,17,2
"204","UTAN KAYU UTARA",10,24,26,24,10,2
"205","KAYU MANIS",3,25,22,12,6,1
"206","PALMERIAM",10,14,19,10,11,1
"207","KEBON MANGGIS",10,16,9,14,12,1
"208","UTAN KAYU SELATAN",10,20,23,9,8,1
"209","PULO GADUNG",21,36,28,37,18,2
"210","PISANGAN TIMUR",18,10,34,22,21,2
"211","CIPINANG",34,25,36,26,9,2
"212","JATINEGARA KAUM",17,12,16,10,8,1
"213","RAWAMANGUN",17,23,35,17,7,2
"214","KAYU PUTIH",28,37,44,24,18,2
"215","JATI",7,22,25,22,6,1
"216","KAMPUNG MELAYU",10,12,23,6,8,1
"217","BIDARA CINA",15,18,17,30,10,1
"218","BALI MESTER",1,8,3,2,7,1
"219","RAWA BUNGA",12,13,18,5,11,1
"220","CIPINANG CEMPEDAK",15,21,17,15,16,1
"221","CIPINANG MUARA",29,34,36,28,22,2
"222","CIPINANG BESAR SELATAN",23,9,30,34,11,2
"223","CIPINANG BESAR UTARA",24,29,17,31,21,2
"224","KRAMATJATI",26,22,17,23,14,2
"225","TENGAH",37,40,42,39,26,2
"226","DUKUH",13,19,16,10,11,1
"227","BATU AMPAR",30,32,52,23,16,2
"228","BALEKAMBANG",30,22,21,16,14,2
"229","CILILITAN",31,21,41,30,30,2
"230","CAWANG",19,22,38,31,17,2
"231","GEDONG",25,26,40,42,10,2
"232","BARU",40,23,40,25,26,2
"233","CIJANTUNG",41,28,56,30,18,2
"234","KALISARI",41,35,39,31,18,2
"235","PEKAYON",23,30,32,38,22,2
"236","JATINEGARA",39,74,66,54,34,3
"237","RAWA TERATE",18,13,27,18,18,2
"238","PENGGILINGAN",80,106,79,72,51,3
"239","CAKUNG TIMUR",41,67,55,60,43,3
"240","PULO GEBANG",78,83,107,92,46,3
"241","UJUNG MENTENG",33,27,29,30,15,2
"242","CAKUNG BARAT",51,20,36,46,26,2
"243","DUREN SAWIT",32,38,41,38,26,2
"244","PONDOK BAMBU",35,44,51,35,36,3
"245","KLENDER",51,43,60,66,40,3
"246","PONDOK KELAPA",49,54,66,58,57,3
"247","MALAKA SARI",14,23,20,15,12,1
"248","MALAKA JAYA",19,9,21,17,18,1
"249","PONDOK KOPI",29,29,34,27,18,2
"250","MAKASAR",21,29,27,27,9,2
"251","PINANGRANTI",18,24,24,37,21,2
"252","KEBON PALA",38,25,33,36,37,2
"253","HALIM PERDANA KUSUMAH",32,22,23,37,33,2
"254","CIPINANG MELAYU",30,36,33,29,14,2
"255","CIRACAS",37,58,44,56,35,3
"256","CIBUBUR",45,55,53,52,28,3
"257","KELAPA DUA WETAN",27,43,51,31,17,2
"258","SUSUKAN",26,32,12,35,21,2
"259","RAMBUTAN",30,15,30,40,15,2
"260","CIPAYUNG",24,11,24,14,22,2
"261","CILANGKAP",23,29,28,17,23,2
"262","PONDOK RANGGON",24,17,23,24,16,2
"263","MUNJUL",15,10,27,20,14,1
"264","SETU",21,22,40,18,15,2
"265","BAMBU APUS",18,17,31,13,25,2
"266","LUBANG BUAYA",42,45,48,52,41,3
"267","CEGER",14,5,18,12,5,1
